"trust_1","trust_0","spatial_distance","target","followerid","social_distance","spatial_distance-2","trust","s_res","t_res","tage","tlon","tlat","fage","flon","flat"
"0.849768614035388","1",-1,"170963694","465290263","269215215",-1,"0.924884307017694",NULL,NULL,"315954716","-118.24368","34.05223","269215215",NULL,NULL
"1","1",-1,"3180254803","2887717901","165710352",-1,"1",NULL,NULL,"165710352","67.0104","24.8608","179265653","-79.4163","43.70011"
"0.231358810472107","1",-1,"3180254803","1100768235904028674","44629051",-1,"0.615679405236053",NULL,NULL,"165710352","67.0104","24.8608","44629051",NULL,NULL
"1","0",-1,"113431968","16063851","330162200",-1,"0.5",NULL,NULL,"330162200","34.78057","32.08088","375749788","-116.78467","34.68743"
"0.105178543946571","1",-1,"2923230219","1167819070735040513","28646476",-1,"0.552589271973286",NULL,NULL,"177412041","28.18783","-25.74486","28646476",NULL,NULL
"1","1",-1,"2923230219","69314191","177412041",-1,"1",NULL,NULL,"177412041","28.18783","-25.74486","344525609","24","-29"
"0.646768639296001","1",-1,"170963694","2293880492","206058522",-1,"0.823384319648",NULL,NULL,"315954716","-118.24368","34.05223","206058522",NULL,NULL
"0.829925989231445","1",-1,"170963694","538429101","263041842",-1,"0.914962994615722",NULL,NULL,"315954716","-118.24368","34.05223","263041842",NULL,NULL
"0.775662768632713","1",-1,"170963694","869120731","246159645",-1,"0.887831384316357",NULL,NULL,"315954716","-118.24368","34.05223","246159645",NULL,NULL
"0.62786275929024","1",-1,"170963694","2410493995","200176586",-1,"0.81393137964512",NULL,NULL,"315954716","-118.24368","34.05223","200176586",NULL,NULL
"0.993656130758089","1",-1,"170963694","178957712","313981032",-1,"0.996828065379044",NULL,NULL,"315954716","-118.24368","34.05223","313981032","0","0"
"0.928712733126268","1",0,"170963694","278286592","293776053",0,"0.964356366563134","4","4","315954716","-118.24368","34.05223","293776053","-118.24368","34.05223"
"0.980225451367618","1",0,"821439445","929774000","243697832",0,"0.990112725683809","1","5","248540633","-1.61125","53.13543","243697832","-1.47663","52.92277"
"0.851097254883418","1",-1,"821439445","2180174840","212074245",-1,"0.925548627441709",NULL,NULL,"248540633","-1.61125","53.13543","212074245",NULL,NULL
"1","1",-1,"821439445","496674366","248540633",-1,"1",NULL,NULL,"248540633","-1.61125","53.13543","266276841","-1.4","53.03333"
"0.994476305170233","1",-1,"170963694","177832009","314236202",-1,"0.997238152585117",NULL,NULL,"315954716","-118.24368","34.05223","314236202",NULL,NULL
"1","1",-1,"170963694","85435440","315954716",-1,"1",NULL,NULL,"315954716","-118.24368","34.05223","339314998",NULL,NULL
"1","1",-1,"170963694","125902820","315954716",-1,"1",NULL,NULL,"315954716","-118.24368","34.05223","326499775",NULL,NULL
"0.777856922413947","1",-1,"170963694","855882535","246842283",-1,"0.888928461206973",NULL,NULL,"315954716","-118.24368","34.05223","246842283",NULL,NULL
"0.799731919290119","1",-1,"170963694","635295974","253647961",-1,"0.89986595964506",NULL,NULL,"315954716","-118.24368","34.05223","253647961",NULL,NULL
"1","1",-1,"821439445","509005349","248540633",-1,"1",NULL,NULL,"248540633","-1.61125","53.13543","265374687",NULL,NULL
"0.825383005218727","1",-1,"821439445","2299513490","205776807",-1,"0.912691502609364",NULL,NULL,"248540633","-1.61125","53.13543","205776807",NULL,NULL
"1","1",-1,"821439445","145233757","248540633",-1,"1",NULL,NULL,"248540633","-1.61125","53.13543","321723671",NULL,NULL
"0.886257867383856","1",-1,"1152674269","2229620268","209757557",-1,"0.943128933691928",NULL,NULL,"235958988","-118.40036","34.07362","209757557","58.21988","57.3434"
"1","1",-1,"821439445","229385617","248540633",-1,"1",NULL,NULL,"248540633","-1.61125","53.13543","302902505","24","-29"
"0.626060333048025","1",-1,"170963694","2450576349","199615821",-1,"0.813030166524012",NULL,NULL,"315954716","-118.24368","34.05223","199615821",NULL,NULL
"0.510335041327717","1",-1,"170963694","3223286378","163611744",-1,"0.755167520663858",NULL,NULL,"315954716","-118.24368","34.05223","163611744",NULL,NULL
"0.202800233004489","1",-1,"170963694","1003041911433781248","67932513",-1,"0.601400116502244",NULL,NULL,"315954716","-118.24368","34.05223","67932513","-2.41667","51.5"
"1","1",-1,"2923230219","282652181","177412041",-1,"1",NULL,NULL,"177412041","28.18783","-25.74486","293025597","24","-29"
"0.662291472626014","1",-1,"2923230219","779338693551226880","121267433",-1,"0.831145736313007",NULL,NULL,"177412041","28.18783","-25.74486","121267433",NULL,NULL
"1","1",-1,"2923230219","34220526","177412041",-1,"1",NULL,NULL,"177412041","28.18783","-25.74486","355523483",NULL,NULL
"1","1",-1,"2923230219","261701866","177412041",-1,"1",NULL,NULL,"177412041","28.18783","-25.74486","296486165",NULL,NULL
"1","1",-1,"2923230219","365856419","177412041",-1,"1",NULL,NULL,"177412041","28.18783","-25.74486","281061880",NULL,NULL
"0.254898918927712","1",-1,"170963694","935042286551011329","84141287",-1,"0.627449459463856",NULL,NULL,"315954716","-118.24368","34.05223","84141287",NULL,NULL
"1","1",-1,"157819685","98035459","319000342",-1,"1",NULL,NULL,"319000342","-117.56644","33.87529","334644679","19.66139","41.31583"
"0.957114745923052","0.5",36,"170963694","230480736","302612395",36,"0.728557372961526","4","6","315954716","-118.24368","34.05223","302612395","0.26256","51.13321"
"0.924273094351817","0.333333333333333",48,"170963694","286419436","292394807",48,"0.628803213842575","4","4","315954716","-118.24368","34.05223","292394807","151.20732","-33.86785"
"0.381235574286159","0.333333333333333",48,"170963694","770198383185137665","123446737",48,"0.357284453809746","4","2","315954716","-118.24368","34.05223","123446737","121.92078","14.0027"
"0.890540487866303","0.5",36,"170963694","359906581","281900028",36,"0.695270243933151","4","6","315954716","-118.24368","34.05223","281900028","-0.12574","51.50853"
"0.866922984375579","0.333333333333333",48,"170963694","412997247","274552227",48,"0.600128158854456","4","6","315954716","-118.24368","34.05223","274552227","121.01749","14.48156"
"0.993899630985156","0.444444444444444",40,"170963694","178621264","314056789",40,"0.7191720377148","4","4","315954716","-118.24368","34.05223","314056789","126.9784","37.566"
"0.457452832542694","0",-1,"29464656","3109534311","168733519",-1,"0.228726416271347",NULL,NULL,"356963969",NULL,NULL,"168733519",NULL,NULL
"0.970304524399341","0",-1,"29464656","62358832","346661468",-1,"0.485152262199671",NULL,NULL,"356963969",NULL,NULL,"346661468","-84.39991","33.68041"
"0.93906829890321","0.444444444444444",40,"170963694","258836756","296997843",40,"0.691756371673827","4","6","315954716","-118.24368","34.05223","296997843","126.95235","37.47876"
"1","1",-1,"2923230219","279788953","177412041",-1,"1",NULL,NULL,"177412041","28.18783","-25.74486","293513052",NULL,NULL
"0.919001192455875","1",-1,"170963694","297112153","290754630",-1,"0.959500596227938",NULL,NULL,"315954716","-118.24368","34.05223","290754630",NULL,NULL
"0.686115890390512","0.777777777777778",16,"170963694","1704744872","218300111",16,"0.731946834084145","4","2","315954716","-118.24368","34.05223","218300111","-82.99879","39.96118"
"0.738930083134508","1",-1,"821439445","2824323865","184604425",-1,"0.869465041567254",NULL,NULL,"248540633","-1.61125","53.13543","184604425",NULL,NULL
"0.838094794314296","0.6875",30,"1152674269","2439060410","198662799",30,"0.762797397157148","6","4","235958988","-118.40036","34.07362","198662799","-73.85333","40.68639"
"1","0.944444444444444",4,"170963694","16795231","315954716",4,"0.972222222222222","4","5","315954716","-118.24368","34.05223","371803619","-123.13683","49.17003"
"0.785662200553196","0.958333333333333",3,"158120995","766431937","250585163",3,"0.871997766943265","4","5","318926197","-68.96667","12.16667","250585163","-69.96667","12.5"
"0.668354095351464","0.722222222222222",20,"170963694","2160221883","212774119",20,"0.695288158786843","4","4","315954716","-118.24368","34.05223","212774119","-74.00597","40.71427"
"1","0.4375",54,"1152674269","1103488309","235958988",54,"0.71875","6","0","235958988","-118.40036","34.07362","237312406","-4","40"
"0.406406986636112","0.4375",54,"1152674269","871812832945471488","99219980",54,"0.421953493318056","6","6","235958988","-118.40036","34.07362","99219980","-0.12574","51.50853"
"0.789359710243569","0.5",36,"170963694","770066586","250420993",36,"0.644679855121785","4","6","315954716","-118.24368","34.05223","250420993","2.62829","48.53157"
"1","0.444444444444444",40,"170963694","139994051","315954716",40,"0.722222222222222","4","4","315954716","-118.24368","34.05223","322952163","126.9784","37.566"
"0.808572666905685","0",-1,"29464656","298409226","290550475",-1,"0.404286333452843",NULL,NULL,"356963969",NULL,NULL,"290550475",NULL,NULL
